batch_id,task,real_item_count,total_item_count,target_real_items_per_hit
sst2_001,sst2,15,16,15
sst2_002,sst2,15,16,15
sst2_003,sst2,15,16,15
sst2_004,sst2,15,16,15
sst2_005,sst2,15,16,15
sst2_006,sst2,15,16,15
sst2_007,sst2,15,16,15
sst2_008,sst2,15,16,15
sst2_009,sst2,15,16,15
sst2_010,sst2,8,9,15
ag_news_001,ag_news,10,11,10
ag_news_002,ag_news,10,11,10
ag_news_003,ag_news,10,11,10
ag_news_004,ag_news,10,11,10
ag_news_005,ag_news,10,11,10
ag_news_006,ag_news,10,11,10
ag_news_007,ag_news,10,11,10
ag_news_008,ag_news,8,9,10
github_001,github,8,9,8
github_002,github,8,9,8
github_003,github,8,9,8
github_004,github,8,9,8
github_005,github,8,9,8
github_006,github,8,9,8
github_007,github,8,9,8
github_008,github,8,9,8
github_009,github,8,9,8
github_010,github,8,9,8
github_011,github,8,9,8
github_012,github,8,9,8
github_013,github,8,9,8
github_014,github,8,9,8
github_015,github,8,9,8
github_016,github,8,9,8
github_017,github,8,9,8
github_018,github,8,9,8
github_019,github,8,9,8
github_020,github,8,9,8
github_021,github,2,3,8
